site;id_site;Gouvernorat;Délégation;cellule;Longitude;Latitude;HBA;Bande de fréquences;PCI;AZIMUTH;Puissance isotrope rayonnée équivalente (PIRE) dans chaque secteur;Nombre d'antennes ;Niveau_signal
;;;;;;;;;;;;;
site1;1;Sfax;Sfax Ville;site1_1;10,7619;34,7455;25;1800;512;340;20W;1;-41.4599990844727
site1;2;Sfax;Sfax Ville;site1_2;10,7619;34,7455;25;1800;517;220;20W;1;-41.4599990844727
site1;3;Sfax;Sfax Ville;site1_3;10,7619;34,7455;25;1800;522;70;20W;1;-41.4599990844727
site1;4;Sfax;Sfax Ville;site1_4;10,7619;34,7455;25;1800;5;340;14,8W;1;-41.4599990844727
site1;5;Sfax;Sfax Ville;site1_5;10,7619;34,7455;25;1800;10;220;14,8W;1;-41.4599990844727
site1;6;Sfax;Sfax Ville;site1_6;10,7619;34,7455;25;1800;14;70;14,8W;1;-41.4599990844727
site2;7;Sfax;Sakiet Eddaier;site2_1;10,7736;34,7869;12;1800;2;300;14,8W;1;-48.7699966430664
site2;8;Sfax;Sakiet Eddaier;site2_2;10,7736;34,7869;12;1800;15;160;14,8W;1;-48.7699966430664
site2;9;Sfax;Sakiet Eddaier;site2_3;10,7736;34,7869;12;1800;7;110;14,8W;1;-48.7699966430664
site3;10;Sfax;Menzel Chaker;site3_1;10,5751;35,1204;37;1800;15;340;14,8W;1;-46.3000030517578
site3;11;Sfax;Menzel Chaker;site3_2;10,5751;35,1204;37;1800;17;180;14,8W;1;-46.3000030517578
site3;12;Sfax;Menzel Chaker;site3_3;10,5751;35,1204;37;1800;4;90;14,8W;1;-46.3000030517578
site4;13;Sfax;Agareb;site4_1;10,5274;34,7426;29;1800;16;280;14,8W;1;-48.9800033569336
site4;14;Sfax;Agareb;site4_2;10,5274;34,7426;29;1800;3;120;14,8W;1;-48.9800033569336
site4;15;Sfax;Agareb;site4_3;10,5274;34,7426;29;1800;8;10;14,8W;1;-48.9800033569336
site5;16;Sfax;Sfax Ville;site5_1;10,7511;34,7436;22;1800;1;320;14,8W;1;-45.2399978637695
site5;17;Sfax;Sfax Ville;site5_2;10,7511;34,7436;22;1800;7;190;14,8W;1;-45.2399978637695
site5;18;Sfax;Sfax Ville;site5_3;10,7511;34,7436;22;1800;15;90;14,8W;1;-45.2399978637695
site6;19;Sfax;Sfax Sud;site6_1;10,75864082;34,75687967;10,5;1800;5;260;20W;1;-41.3600006103516
site6;20;Sfax;Sfax Sud;site6_2;10,75864082;34,75687967;10,5;1800;14;150;20W;1;-41.3600006103516
site6;21;Sfax;Sfax Sud;site6_3;10,75864082;34,75687967;10,5;1800;1;30;20W;1;-41.3600006103516
site7;22;Sfax;Sfax Ville;site7_1;10,7222;34,7597;15;1800;6;330;14,8W;1;-36.0100021362305
site7;23;Sfax;Sfax Ville;site7_2;10,7222;34,7597;15;1800;9;220;14,8W;1;-36.0100021362305
